title,Exclude,url,tags,date
Grad students can apply now for ComSciCon’18!,1,https://astrobites.org/2018/01/14/grad-students-can-apply-now-for-comscicon18/,"communication, comscicon, Conference",2018-01-14
Will you use Astrobites in your course this Fall?,1,https://astrobites.org/2017/06/11/astrobites-lesson-plans/,"astrobites, astronomy education, classroom, education",2017-06-11
Grad Students: Apply now for ComSciCon-2017!,1,https://astrobites.org/2017/01/28/grad-students-apply-now-for-comscicon-2017/,"comscicon, Conference",2017-01-28
Grad students: apply now for ComSciCon 2015!,1,https://astrobites.org/2015/01/25/grad-students-apply-now-for-comscicon-2015/,"applications, comscicon, Conference",2015-01-25
Happy Birthday Astrobites–a look back at our first four years,,https://astrobites.org/2014/12/14/happy-birthday-astrobites-a-look-back-at-our-first-four-years/,"astrobites, birthday",2014-12-14
AAS digital switch a long time coming?,,https://astrobites.org/2014/06/07/aas-digital-switch-a-long-time-coming/,"AAS, publishing",2014-06-07
Entering the Matrix: Exploring the formation history of a universe on your laptop,,https://astrobites.org/2014/05/13/entering-the-matrix-exploring-the-formation-history-of-a-universe-on-your-laptop/,"outreach, simulations",2014-05-13
Has IBEX detected eddies in the spacetime continuum?,,https://astrobites.org/2013/10/28/has-ibex-detected-eddies-in-the-spacetime-continuum/,"heliosphere, helium, interstellar medium, Spacecraft, Sun, Turbulence",2013-10-28
Interactive astronomy software produced by graduate students,,https://astrobites.org/2013/08/09/interactive-astronomy-software-produced-by-graduate-students/,"astronomy education, software",2013-08-09
Announcing Astroplots!,1,https://astrobites.org/2013/08/09/announcing-astroplots/,,2013-08-09
One week left to apply for Communicating Science 2013!,1,https://astrobites.org/2013/02/22/one-week-left-to-apply-for-communicating-science-2013/,"communication, conferences, outreach, workshop",2013-02-22
Visit Astrobites at the AAAS Meeting in Boston,1,https://astrobites.org/2013/02/14/visit-astrobites-at-the-aaas-meeting-in-boston/,Conference,2013-02-14
Apply Now for Communicating Science 2013!,1,https://astrobites.org/2013/01/05/apply-now-for-communicating-science-2013/,"communication, conferences, outreach, workshop",2013-01-05
Can you hide a super-massive black hole?,,https://astrobites.org/2012/11/26/can-you-hide-a-super-massive-black-hole/,"accretion, AGN, black holes, galaxy evolution, simulations, spectroscopy",2012-11-26
The Prisoner’s Dilemma: A new solution to an age old problem,,https://astrobites.org/2012/10/01/the-prisoners-dilemma-a-new-solution-to-an-age-old-problem/,"computer science, discoveries, game theory",2012-10-01
Astrobites on the arXiv,1,https://astrobites.org/2012/08/24/astrobites-on-the-arxiv/,"astrobites, education",2012-08-24
How to submit a paper,,https://astrobites.org/2012/08/06/how-to-submit-a-paper/,,2012-08-06
A new tool to investigate a century old mystery,,https://astrobites.org/2012/07/09/a-new-tool-to-investigate-a-century-old-mystery/,"DIBs, dust, extinction, interstellar medium, SDSS, spectroscopy, stars",2012-07-09
Astronomy software developer Bill Joye on ds9 7.0,,https://astrobites.org/2012/06/26/astronomy-software-developer-bill-joye-on-ds9-7-0/,"ds9, software, visualization",2012-06-26
The first detected signature of dark matter annihilation?,,https://astrobites.org/2012/06/19/the-first-detected-signature-of-dark-matter-annihilation/,"dark matter, fermi, galaxies, gamma rays, spectroscopy, survey",2012-06-19
Discussing Planetary Resources with Sara Seager,,https://astrobites.org/2012/05/19/discussing-planetary-resources-with-sara-seager/,"commercial space exploration, exoplanets, interview, MIT, Planetary Resources, spaceflight",2012-05-19
An observation of the cosmic evolution of planets?,,https://astrobites.org/2012/04/17/an-observation-of-the-cosmic-evolution-of-planets/,"chemical evolution, exoplanets, Kepler, metallicity",2012-04-17
A credit rating agency for physics?,,https://astrobites.org/2012/04/11/a-credit-rating-agency-for-physics/,"Career Advice, risk management",2012-04-11
John Johnson on the ExoLab,,https://astrobites.org/2012/03/22/johnjohn5/,"advice, exoplanets, John johnson",2012-03-22
John Johnson on Undergraduate Research,,https://astrobites.org/2012/03/20/johnjohn4/,"advice, Graduate school, John johnson",2012-03-20
John Johnson on Graduate Admissions,,https://astrobites.org/2012/03/19/johnjohn3/,"advice, applications, Graduate school, John johnson",2012-03-19
Code you can use: the MCMC Hammer,,https://astrobites.org/2012/02/20/code-you-can-use-the-mcmc-hammer/,"Bayesian, Bayesian statistics, markov chain monte carlo, software, statistics, things to make your life easier",2012-02-20
NGC 4261’s off-kilter globular cluster population,,https://astrobites.org/2012/01/23/ngc-4261s-off-kilter-globular-cluster-population/,"galaxy evolution, galaxy mergers, glubular clusters, HST, photometry",2012-01-23
Concluding 1 year of Astrobites,,https://astrobites.org/2011/12/31/concluding-1-year-of-astrobites/,astrobites,2011-12-31
An update on the atmosphere of super-Earth GJ1214b,,https://astrobites.org/2011/11/28/an-update-on-the-atmosphere-of-super-earth-gj1214b/,"atmospheres, exoplanets, extra-solar planets, GJ1214b, life, snow line, Super-Earths, transits, water",2011-11-28
Untouched gas in the early universe,,https://astrobites.org/2011/11/14/untouched-gas-in-the-early-universe/,"Big Bang, cosmology, early universe, IGM, metallicity",2011-11-14
Dwarf Spheroidals: Where did all the metals go?,,https://astrobites.org/2011/10/31/dwarf-spheroidals-where-did-all-the-metals-go/,"chemical evolution, dSph, galaxies, galaxy evolution, IGM, interstellar medium, Local Group, Metallcity, theory",2011-10-31
The consequences of stellar rotation,,https://astrobites.org/2011/10/03/the-consequences-of-stellar-rotation/,"gamma-ray bursts, GRBs, Population III stars, Review, stars, stellar rotation, WR stars",2011-10-03
Getting friendly with Pan-STARRS: identifying galaxy clusters,,https://astrobites.org/2011/09/19/getting-friendly-with-pan-starrs-identifying-galaxy-clusters/,"Friends of Friends, galaxy clusters, optical surveys, PanSTARRS, Voronoi Tessellation",2011-09-19
A planetary nebula with serious pollution problems,,https://astrobites.org/2011/08/22/a-planetary-nebula-with-serious-pollution-problems/,"barium stars, binary stars, chemical abundance, planetary nebulae, stellar evolution",2011-08-22
How did the universe get so dusty?,,https://astrobites.org/2011/08/08/how-did-the-universe-get-so-dusty/,"AGB stars, dust, IMF, mass loss, quasars, SMGs, supernovae",2011-08-08
Guest posts at Physics Today and GradHacker,1,https://astrobites.org/?p=6140&preview=true,,2011-08-06
Do galaxies line up?,,https://astrobites.org/?p=2457&preview=true,,2011-08-06
